Position,Team,Formation,Champions,Promoted Last Year,Relegated,Top 7,Top Half,Bottom Half,Played,Wins,Draw,Loss,For,Against,Goal Difference,Home_Win_Rate,Home_Loss_Rate,Away_Win_Rate,Away_Loss_Rate,Top 7 Win Rate,Top 7 Loss Rate,Promoted Win Rate,Promoted Loss Rate,Top Half Win Rate,Top Half Loss Rate,Bottom Half Win Rate,Bottom Half Loss Rate,Points
1,Chelsea,05:04:01,Y,N,N,Y,N,N,38,30,3,5,85,33,52,84%,11%,68%,16%,58%,33%,83%,0%,100%,0%,89%,6%,93
2,Tottenham Hotspur,05:04:01,N,N,N,Y,N,N,38,26,8,4,86,26,60,89%,0%,47%,21%,42%,25%,100%,0%,67%,0%,83%,6%,86
3,Manchester City,04:05:01,N,N,N,Y,N,N,38,23,9,6,80,39,41,58%,5%,63%,26%,17%,42%,67%,0%,83%,0%,89%,0%,78
4,Liverpool,04:05:01,N,N,N,Y,N,N,38,22,10,6,78,42,36,64%,11%,47%,21%,58%,0%,67%,33%,33%,17%,61%,28%,76
5,Arsenal,04:05:01,N,N,N,Y,N,N,38,23,6,9,77,44,33,74%,11%,47%,32%,25%,50%,83%,0%,67%,17%,89%,11%,75
6,Manchester United,04:05:01,N,N,N,Y,N,N,38,18,15,5,54,29,25,42%,5%,47%,21%,17%,26%,67%,0%,50%,0%,72%,6%,69
7,Everton,04:05:01,N,N,N,Y,N,N,38,17,10,11,62,44,18,68%,11%,21%,47%,33%,50%,50%,17%,67%,33%,67%,17%,61
8,Southampton,04:05:01,N,N,N,N,Y,N,38,12,10,16,41,48,-7,32%,32%,32%,47%,7%,64%,50%,33%,50%,25%,50%,33%,46
9,AFC Bournemouth,04:04:02,N,N,N,N,Y,N,38,12,10,16,55,67,-12,47%,32%,16%,53%,14%,50%,50%,50%,25%,50%,50%,33%,46
10,West Bromwich Albion,04:05:01,N,N,N,N,Y,N,38,12,9,17,43,51,-8,47%,42%,16%,42%,7%,79%,33%,0%,50%,25%,50%,22%,45
11,West Ham United,05:04:01,N,N,N,N,N,Y,38,12,9,17,47,64,-17,37%,42%,26%,47%,7%,64%,67%,17%,33%,50%,56%,25%,45
12,Leicester City,04:04:02,N,N,N,N,N,Y,38,12,8,18,48,63,-15,53%,26%,11%,74%,14%,71%,33%,33%,17%,50%,56%,31%,44
13,Stoke City,04:05:01,N,N,N,N,N,Y,38,11,11,16,41,56,-15,37%,26%,21%,53%,0%,71%,67%,17%,17%,33%,63%,25%,44
14,Crystal Palace,04:04:02,N,N,N,N,N,Y,38,12,5,21,50,63,-13,32%,58%,32%,47%,21%,57%,50%,33%,50%,33%,44%,50%,41
15,Swansea City,04:05:01,N,N,N,N,N,Y,38,12,5,21,45,70,-25,42%,42%,21%,68%,14%,57%,33%,50%,33%,67%,44%,50%,41
16,Burnley,04:04:02,N,Y,N,N,N,Y,38,11,7,20,39,55,-16,52%,32%,5%,74%,12%,79%,25%,0%,33%,50%,44%,44%,40
17,Watford,05:04:01,N,N,N,N,N,Y,38,11,7,20,40,68,-28,47%,37%,11%,68%,21%,79%,50%,33%,17%,33%,44%,44%,40
18,Hull City,04:05:01,N,Y,Y,N,N,Y,38,9,7,22,37,80,-43,42%,37%,5%,79%,8%,71%,25%,25%,33%,33%,38%,56%,34
19,Middlesbrough,04:05:01,N,Y,Y,N,N,Y,38,5,13,20,27,53,-26,16%,42%,11%,58%,0%,71%,25%,50%,17%,50%,25%,44%,28
20,Sunderland,04:05:01,N,N,Y,N,N,Y,38,6,6,26,29,69,-40,16%,58%,16%,79%,0%,79%,33%,50%,16%,50%,31%,63%,24
